Radix sort (thrust)
size,time,1000000,8
128,714
256,698
512,676
1024,793
2048,773
4096,769
8192,766
16384,778
32768,822
65536,1022
131072,1287
262144,1720
524288,2294
1048576,3492
2097152,5825
4194304,10542
8388608,20205
16777216,39098
33554432,76768

Merge sort (thrust)
size,time,1000000,8
128,19
256,134
512,264
1024,287
2048,303
4096,335
8192,351
16384,415
32768,596
65536,838
131072,1463
262144,2620
524288,4827
1048576,9805
2097152,20038
4194304,42723
8388608,87708
16777216,189295
33554432,390966
