size;Copy to device;Copy to host;Bitonic sort (4B);Radix sort (4B);Odd-even merge sort (4B);Merge sort (4B);Quick sort (4B);Radix sort (thrust) (4B);Merge sort (thrust) (4B);CPU STL sort (4B);Bitonic sort (8B);Radix sort (8B);Odd-even merge sort (8B);Merge sort (8B);Radix sort (thrust) (8B);Merge sort (thrust) (8B);CPU STL sort (8B);Bitonic sort (16B);Radix sort (16B);Odd-even merge sort (16B);Merge sort (16B);Radix sort (thrust) (16B);Merge sort (thrust) (16B);CPU STL sort (16B);Bitonic sort (4B) + Copy;Radix sort (4B) + Copy;Odd-even merge sort (4B) + Copy;Merge sort (4B) + Copy;Quick sort (4B) + Copy;Radix sort (thrust) (4B) + Copy;Merge sort (thrust) (4B) + Copy;Bitonic sort (8B) + Copy;Radix sort (8B) + Copy;Odd-even merge sort (8B) + Copy;Merge sort (8B) + Copy;Radix sort (thrust) (8B) + Copy;Merge sort (thrust) (8B) + Copy;Bitonic sort (16B) + Copy;Radix sort (16B) + Copy;Odd-even merge sort (16B) + Copy;Merge sort (16B) + Copy;Radix sort (thrust) (16B) + Copy;Merge sort (thrust) (16B) + Copy
1024;139,5089285714;97,65625;51,3980263158;0,9592951866;42,4592391304;5,3364071038;0,8469752819;1,5625;51,3980263158;40,6901041667;54,2534722222;0,4902422189;42,4592391304;7,570251938;1,3677345938;51,3980263158;195,3125;54,2534722222;0,5099543081;46,5029761905;11,355377907;1,334101776;4,4591894977;325,5208333333;27,1267361111;0,9435386473;24,4140625;4,8828125;0,8346688034;1,5211253894;27,1267361111;27,9017857143;0,4860938278;24,4140625;6,6887842466;1,3359268126;27,1267361111;27,9017857143;0,5054671325;25,6990131579;9,4811893204;1,3038217623;4,1379766949
2048;279,0178571429;195,3125;81,3802083333;0,3921150371;75,1201923077;7,5120192308;1,7223324515;3,2336506623;14,6851503759;39,0625;97,65625;1,013557343;81,3802083333;10,333994709;2,7981733524;14,5755597015;195,3125;102,7960526316;1,1179879794;84,9184782609;14,5755597015;2,720229805;6,0281635802;325,5208333333;47,637195122;0,3907813125;45,4215116279;7,0509927798;1,6968940052;3,1451288245;13,0208333333;52,7871621622;1,00469393;47,637195122;9,4811893204;2,7316433566;12,934602649;54,2534722222;1,1072137188;48,828125;12,934602649;2,6573129252;5,7276392962
4096;488,28125;355,1136363636;8,8177200903;0,805246341;114,8897058824;10,500672043;2,6645634379;6,4887873754;14,909351145;36,1689814815;144,6759259259;0,4127483094;134,6982758621;14,5213754647;5,7784763314;14,7964015152;177,5568181818;156,25;2,2398222477;139,5089285714;19,53125;4,7753667482;12,20703125;325,5208333333;8,4550865801;0,8021047228;73,7028301887;9,9904092072;2,6304713805;6,290257649;13,9012455516;84,9184782609;0,4119213329;81,3802083333;13,5633680556;5,6205035971;13,8030035336;88,7784090909;2,215683494;83,1117021277;17,8367579909;4,6669653524;11,5228613569
8192;710,2272727273;600,9615384615;14,909351145;1,726519337;38,4852216749;10,0936692506;5,2152870494;10,9418767507;27,5088028169;33,8203463203;16,9836956522;0,8767253956;181,6860465116;20,1353092784;9,8518284994;27,2212543554;159,4387755102;200,3205128205;0,8898063781;195,3125;26,4830508475;10,8356449376;21,2874659401;289,3518518519;14,2563868613;1,7174104199;34,4162995595;9,7901002506;5,1330486202;10,5860433604;25,3652597403;16,1415289256;0,8743704533;116,6044776119;18,9623786408;9,5624235006;25,1205787781;124,0079365079;0,887380736;122,0703125;24,4905956113;10,4865771812;19,9808184143
16384;1116,0714285714;1041,6666666667;25,4478827362;3,4916201117;52,6094276094;11,5740740741;10,6728142077;22,2895863053;51,3980263158;31,6937119675;28,1531531532;1,7623505527;68,8325991189;19,4825436409;20,213454075;51,5676567657;144,6759259259;31,25;1,7709395897;226,4492753623;35,7551487414;19,434079602;28,2549728752;256,1475409836;24,300155521;3,4691385435;47,9294478528;11,3306744017;10,4655056932;21,404109589;46,9219219219;26,7551369863;1,7566048342;61,03515625;18,8026474128;19,4825436409;47,063253012;29,5368620038;1,765137822;159,4387755102;33,5300429185;18,7575030012;26,8470790378
32768;1736,1111111111;1488,0952380952;43,5236768802;6,9198405669;77,1604938272;15,687751004;21,492434663;45,1589595376;91,642228739;30,8794466403;48,5248447205;3,520333446;91,9117647059;21,9760900141;40,6371911573;93,2835820896;132,4152542373;52,1702838063;3,5262920334;117,0411985019;34,0785169029;34,645232816;53,602058319;234,962406015;41,2813738441;6,8605927552;70,3828828829;15,3865091088;20,9310113865;42,7496580027;82,2368421053;45,7540263543;3,5049349484;82,4538258575;21,3894592745;38,6757425743;83,5561497326;48,9811912226;3,5108414785;102,1241830065;32,6882845188;33,2093517535;50,2411575563
65536;2232,1428571429;1893,9393939394;74,0521327014;13,6106271777;114,8897058824;21,9221325851;43,9521800281;90,8430232558;162,3376623377;31,391260673;80,4375804376;6,9537160659;141,0835214447;29,6208530806;81,592689295;178,0626780627;123,7623762376;88,6524822695;7,0382882883;158,6294416244;38,6279357231;80,0256081946;101,6260162602;220,8480565371;69,0607734807;13,4321942833;103,305785124;21,4629120879;42,1443020904;83,4445927904;140,134529148;74,5823389021;6,9068405349;124,0079365079;28,7885766928;75,5743651753;151,6990291262;81,592689295;6,9902695448;137,3626373626;37,2245384157;74,2280285036;92,4556213018
131072;2604,1666666667;2314,8148148148;118,3712121212;26,1725293132;179,3400286944;31,6295546559;109,9384344767;180,3751803752;272,3311546841;33,921302578;136,3140676118;13,6284343655;202,5931928687;41,6805601867;160,6683804627;301,2048192771;113,8433515483;140,7657657658;13,8182622153;243,1906614786;52,2575250836;159,2356687898;189,1074130106;208,6811352254;107,9447322971;25,6252562526;156,4455569462;30,8337444499;100,8878127522;157,2327044025;222,816399287;122,6692836114;13,4785421609;173,8525730181;40,3095775556;142,0454545455;241,7794970986;126,2626262626;13,6641888937;202,9220779221;50,1202886929;140,924464487;163,8269986894
262144;2976,1904761905;2631,5789473684;185,0481125093;47,0013160368;265,6748140276;46,0744563214;191,8649270913;319,6930946292;396,1965134707;39,3824826717;214,2245072836;25,797131359;312,1098626717;59,4388968141;304,1362530414;419,4630872483;106,9747539581;220,2643171806;26,7265341031;314,465408805;74,2500742501;312,1098626717;343,4065934066;200,8032128514;163,3986928105;45,4710803929;223,2142857143;44,6030330062;168,6909581646;260,1456815817;308,6419753086;185,73551263;25,3292806484;255,1020408163;57,0125427594;249,7502497503;322,5806451613;190,2587519026;26,2246931711;256,6735112936;70,5019740553;255,1020408163;275,6339581036
524288;3311,2582781457;2906,9767441861;260,8242044862;81,8732601932;356,1253561254;64,5911380959;298,6857825568;546,4480874317;452,8985507246;46,711509716;327,4394237066;45,545636728;420,1680672269;83,5421888053;489,2367906067;596,6587112172;101,1531458628;305,9975520196;49,0148024703;444,8398576512;100,7252215955;580,7200929152;529,1005291005;199,8401278977;223,2142857143;77,7604976672;289,5193977997;62,003968254;250,375563345;403,8772213247;350,3854239664;270,2702702703;44,2438722237;330,4692663582;79,2644261256;371,7472118959;430,6632213609;255,4931016863;47,5104522995;345,5425017277;94,5715906942;422,2972972973;394,3217665615
